product,grape,score,avg_price_liter
"Raventos  I Blanc 'Blanc de Blancs' Espumoso Conca del Riu de Arnoia, Catalonia",  Cava Blend  ,89.0,138.67
"Bodegas Riojanas Vina  Albina Gran Reserva, Rioja DOCa",  Tempranillo  ,89.0,301.33
"Bodegas Taron 'Pantocrator', Rioja  DOCa",  Tempranillo  ,91.0,212.0
"Bodegas La Horra  Corimbo, Ribera del Duero",  Tempranillo  ,90.0,162.67
"Compania Bodeguera  Valenciso Reserva, Rioja DOCa",  Tempranillo  ,91.0,188.0
"Dominio  del Aguila 'Picaro del Aguila' Clarete Vinas Viejas, Ribera del Duero",  Tempranillo  ,91.0,228.0
"Raventos  I Blanc 'De Nit' Rosado Espumoso Conca del Riu de Arnoia, Catalonia",  Rose Blend  ,89.0,154.67
"Casa Castillo El Molar  Tinto, Jumilla",  Grenache (Garnacha)  ,91.0,138.67
"Vinedos de  Paganos El Puntido Gran Reserva, Rioja DOCa",  Tempranillo  ,92.0,440.0
"Bodegas Portia Roble,  Ribera del Duero",  Tempranillo  ,87.0,73.33
"Bodegas  Emilio Moro 'Malleolus de Sanchomartin', Ribera del Duero",  Tempranillo  ,93.0,978.67
Estrella Damm Lemon Cerveza,  Beer  ,,24.0
"Alvear  Pedro Ximenez Solera 1927, Montilla-Moriles",  Pedro Ximenez  ,92.0,374.67
"Bodegas Protos 27, Ribera del  Duero",  Tempranillo  ,91.0,170.67
"Marques de Vargas Reserva, Rioja  DOCa",  Rioja Red Blend  ,90.0,146.67
"Torres Vina Esmeralda,  Penedes",  Muscat of Alexandria  ,87.0,65.33
"Comando G  'El Tamboril' Tinto Navaltalgordo, Castilla y Leon",  Grenache (Garnacha)  ,94.0,729.33
"Bodegas Ego 'El Goru', Jumilla",  Red Blend  ,88.0,73.33
"Bodegas Franco-Espanolas  Excelso Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,90.0,460.0
"Bodegas Age Siglo Saco Crianza,  Rioja DOCa",  Tempranillo  ,86.0,105.33
"Txomin Etxaniz  Txakoli, Getariako Txakolina",  Hondarrabi Zuri  ,88.0,130.67
"Teso La Monja 'Almirez',  Toro",  Tinta de Toro  ,91.0,138.67
"Bodegas  Valduero 12 Anos Gran Reserva, Ribera del Duero",  Tempranillo  ,92.0,1052.0
"Bodegas Matarromera  Reserva, Ribera del Duero",  Tempranillo  ,90.0,269.33
"Bodegas Juan  Gil 4 Meses Yellow Label Monastrell, Jumilla",  Monastrell  ,88.0,89.33
"Bodegas LAN A Mano Edicion  Limitada, DOCa Rioja",  Rioja Red Blend  ,93.0,236.0
"Bodegas  Emilio Moro 'Malleolus de Valderramiro', Ribera del Duero",  Tempranillo  ,93.0,814.67
"Casa Castillo Monastrell,  Jumilla",  Monastrell  ,90.0,89.33
"Torres Perpetual, Priorat  DOCa",  Carinena - Garnacha  ,92.0,400.0
"Cellers de Scala  Dei Prior, Priorat DOCa",  Cabernet - Grenache - Syrah  ,90,178.67
"Bodegas Valdemar 'Conde de  Valdemar' Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,90,170.67
"Libertario Tempranillo, La  Mancha",  Tempranillo  ,86,24.0
"Ferrer Bobet Vinyes  Velles, Priorat DOCa",  Carinena - Garnacha  ,92,358.67
"Alvear  Pedro Ximenez de Anada, Montilla-Moriles",  Pedro Ximenez  ,91,277.33
"Bodegas Casa Primicia Vina  Diezmo 'RV' Reserva, Rioja DOCa",  Tempranillo  ,88,146.67
"Agusti Torello  Mata Kripta Gran Reserva Cava, Catalonia",  Cava Blend  ,91,440.0
"Torre de Ona Finca  Martelo Reserva, Rioja DOCa",  Rioja Red Blend  ,91,212.0
"Proelio 'Vinedos Viejos'  Garnacha, Rioja DOCa",  Grenache (Garnacha)  ,91,97.33
"Bodegas LAN Edicion Limitada, Rioja DOCa,",  Tempranillo  ,91,326.67
"Bodegas Zarate 'Zarate'  Albarino, Rias Baixas",  Albariño  ,90,146.67
"Mas Martinet 'Martinet Bru',  Priorat DOCa",  Red Blend  ,91,204.0
